                                  INSTITUTO DE EDUCACION SUPERIOR 
                            SITUACION DE LOS ALUMNOS DE LA INSTITUCION 
============================================================================================
No.   ALUMNO   ESPECIALIDAD   CREDITOS APROBADOS   PROMEDIO   % CRED.AP/CRED.MAT   SITUACION 
--------------------------------------------------------------------------------------------
 58) 19980519     2016666            22.50           14.04           100.0%         EGRESADO
 59) 20040967     1011234            29.00           14.10            69.9%         EGRESADO
 60) 20039682     1015647            11.50           12.67            59.0%      NO EGRESADO
 61) 20080462     1019876            37.00           15.02            92.5%         EGRESADO
 62) 20098132     1019876            32.00           12.98            77.1%         EGRESADO
 63) 20100581     1015647            17.50           15.74           100.0%      NO EGRESADO
 64) 20079564     1812211            27.00           15.69           100.0%         EGRESADO
 65) 20095789     2016666            16.30           14.98           100.0%      NO EGRESADO
 66) 20015646     1812211            23.00           13.11            75.4%         EGRESADO
 67) 20096065     1812211            18.00           16.08           100.0%      NO EGRESADO
 68) 20070748     2013366            33.00           12.39            71.7%         EGRESADO
 69) 20020565     1019876            30.00           12.41            57.1%         EGRESADO
 70) 20087963     2012882            23.50           14.30           100.0%         EGRESADO
 71) 20023796     1015647            17.00           12.12            50.0%      NO EGRESADO
 72) 20090268     2011010            43.60           14.16            78.4%         EGRESADO
 73) 20047992     2019021            26.50           14.23            70.7%         EGRESADO
 74) 20060740     2012882            26.00           13.45            68.4%         EGRESADO
 75) 20110087     2012882            12.50           12.67            52.1%      NO EGRESADO
 76) 20050439     2012882            21.50           12.91            75.4%         EGRESADO
 77) 20008366     1812211            35.00           15.59            92.1%         EGRESADO
 78) 20030810     2019021            18.80           14.66            65.3%         EGRESADO
 79) 20025196     1812211            24.30           15.17            87.4%         EGRESADO
 80) 20000875     1019876            32.00           14.21            80.0%         EGRESADO
 81) 19998828     2016666            27.50           15.39            90.2%         EGRESADO
 82) 20067536     1011234            34.30           13.78            76.6%         EGRESADO
 83) 20103911     2013366            32.00           14.63            88.9%         EGRESADO
 84) 20110699     2011010            18.00           13.57            80.7%      NO EGRESADO
 85) 20050935     2012882            20.80           16.00            85.6%         EGRESADO
 86) 20000029     1812211            31.00           14.00            68.1%         EGRESADO
 87) 20011873     2017755            29.00           13.91            78.4%         EGRESADO
 88) 19990679     2017755            38.00           14.52            75.2%         EGRESADO
 89) 20030637     1812211            24.00           14.36            84.8%         EGRESADO
 90) 20109047     1019876            25.00           13.43            62.5%      NO EGRESADO
 91) 20095104     1019876             8.00           14.91            69.6%      NO EGRESADO
 92) 20029701     2019021            38.50           12.03            65.3%         EGRESADO
 93) 20020593     2012882            29.00           13.59           100.0%         EGRESADO
 94) 20054278     1011234            15.00           11.93            44.1%      NO EGRESADO
 95) 20000474     2011010            23.30           13.51            67.0%         EGRESADO
 96) 20050979     2012882            27.30           15.00            75.2%         EGRESADO
 97) 20077768     2019021            17.00           17.12           100.0%      NO EGRESADO
 98) 19980906     2019021            33.50           15.07           100.0%         EGRESADO
 99) 20034057     1814356            22.50           14.13            81.8%         EGRESADO
100) 20036986     2013366            18.50           14.24            72.5%         EGRESADO
101) 20100201     1011234            27.00           11.42            63.5%         EGRESADO
102) 20046665     1011234            22.50           11.78            69.2%         EGRESADO
103) 19990036     1814356            35.00           14.65            89.7%         EGRESADO
104) 19980667     1814356            23.80           13.82            62.1%         EGRESADO
105) 19980315     1019876            20.00           13.46            71.4%      NO EGRESADO
106) 20020158     1812211            18.30           12.48            55.0%      NO EGRESADO
107) 20064217     2011010            34.00           13.65            81.9%         EGRESADO
108) 20043300     1011234            39.00           14.91            66.7%         EGRESADO
109) 20090888     2017755            19.00           11.99            56.7%      NO EGRESADO
110) 20060043     2012882            18.00           16.97           100.0%         EGRESADO
--------------------------------------------------------------------------------------------
RESUMEN: 
Total de alumnos:            110 
Total de egresados:           80 

Alumno con mayor promedio: 20077768 con 17.12 de promedio ponderado. 
                           El alumno tiene el 100.00% de creditos/creditos matriculados. 
Alumno con menor promedio: 20090929 con 11.27 de promedio ponderado. 
                           El alumno tiene el  48.44% de creditos/creditos matriculados. 
============================================================================================
